model,train_csv,test_csv,target,train_rows,test_rows,test_accuracy,test_balanced_accuracy,test_auroc
logistic,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/synthetic_200.csv,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/dataset.csv,label_heart_disease,606,303,0.8481848184818482,0.8427575013160205,0.9089752588173363
xgboost,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/synthetic_200.csv,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/dataset.csv,label_heart_disease,606,303,0.8547854785478548,0.8494034041059835,0.9232321459905246
lightgbm,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/synthetic_200.csv,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/dataset.csv,label_heart_disease,606,303,0.8448844884488449,0.8386120371995087,0.9259080540445692
catboost,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/synthetic_200.csv,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/dataset.csv,label_heart_disease,606,303,0.8547854785478548,0.8472100368485699,0.9259957887348658
mlp,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/synthetic_200.csv,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/dataset.csv,label_heart_disease,606,303,0.8448844884488449,0.836418669942095,0.8997631163361993
logistic,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/synthetic_200.csv,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/dataset.csv,label_heart_disease,606,303,0.5412541254125413,0.5241270398315494,0.5533426917002983
xgboost,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/synthetic_200.csv,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/dataset.csv,label_heart_disease,606,303,0.570957095709571,0.5597911914370942,0.5735216704685032
lightgbm,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/synthetic_200.csv,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/dataset.csv,label_heart_disease,606,303,0.5907590759075908,0.5802772416213371,0.5952798736620459
catboost,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/synthetic_200.csv,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/dataset.csv,label_heart_disease,606,303,0.5775577557755776,0.5653404105983506,0.5661080891384453
mlp,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/synthetic_200.csv,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/dataset.csv,label_heart_disease,606,303,0.48514851485148514,0.47613616423934024,0.4892963677838217
