iter	Passed	Remaining
0	9	4809
1	16	4182
2	23	3913
3	30	3726
4	35	3531
5	40	3342
6	46	3285
7	51	3179
8	56	3106
9	61	3005
10	66	2954
11	71	2923
12	76	2855
13	81	2824
14	86	2790
15	91	2767
16	95	2723
17	99	2675
18	104	2640
19	108	2599
20	111	2545
21	115	2517
22	119	2488
23	124	2459
24	128	2433
25	132	2420
26	136	2393
27	140	2373
28	144	2348
29	149	2336
30	153	2318
31	157	2304
32	161	2280
33	165	2268
34	169	2252
35	173	2238
36	177	2225
37	181	2211
38	186	2199
39	189	2184
40	194	2174
41	198	2163
42	202	2150
43	206	2136
44	210	2127
45	213	2112
46	218	2104
47	222	2091
48	226	2082
49	230	2076
50	234	2066
51	238	2056
52	242	2046
53	247	2043
54	252	2038
55	255	2029
56	259	2018
57	264	2013
58	267	2001
59	272	1999
60	276	1987
61	279	1976
62	283	1965
63	287	1955
64	291	1951
65	296	1946
66	300	1939
67	305	1940
68	308	1930
69	313	1922
70	318	1922
71	322	1915
72	326	1908
73	330	1903
74	335	1899
75	339	1894
76	343	1888
77	347	1879
78	351	1873
79	355	1866
80	359	1858
81	362	1850
82	366	1842
83	371	1839
84	375	1834
85	380	1830
86	383	1822
87	388	1817
88	392	1811
89	396	1805
90	400	1798
91	404	1793
92	408	1786
93	412	1780
94	416	1774
95	421	1771
96	425	1767
97	429	1760
98	432	1753
99	436	1746
100	441	1742
101	445	1737
102	449	1733
103	453	1727
104	457	1722
105	462	1719
106	467	1716
107	470	1709
108	474	1703
109	479	1699
110	483	1695
111	487	1688
112	491	1683
113	496	1679
114	501	1678
115	505	1674
116	510	1670
117	514	1666
118	521	1670
119	530	1680
120	537	1684
121	542	1679
122	545	1673
123	550	1668
124	554	1664
125	559	1660
126	563	1654
127	567	1650
128	572	1645
129	576	1640
130	580	1636
131	585	1631
132	589	1627
133	594	1623
134	598	1619
135	603	1615
136	607	1610
137	613	1610
138	622	1616
139	626	1612
140	630	1606
141	637	1607
142	641	1602
143	646	1597
144	650	1591
145	654	1587
146	658	1581
147	663	1576
148	667	1572
149	672	1568
150	677	1564
151	681	1559
152	684	1552
153	688	1547
154	693	1542
155	696	1536
156	700	1530
157	705	1526
158	709	1522
159	714	1517
160	718	1513
161	722	1507
162	726	1502
163	730	1496
164	734	1490
165	737	1484
166	742	1479
167	745	1474
168	750	1470
169	754	1464
170	758	1459
171	763	1455
172	767	1449
173	770	1444
174	774	1438
175	779	1434
176	784	1431
177	788	1426
178	792	1421
179	797	1416
180	801	1412
181	804	1406
182	808	1401
183	813	1397
184	817	1392
185	821	1386
186	825	1382
187	830	1377
188	833	1372
189	838	1367
190	842	1363
191	846	1357
192	850	1352
193	854	1348
194	858	1343
195	862	1337
196	866	1333
197	871	1328
198	875	1323
199	879	1319
200	883	1314
201	887	1309
202	891	1304
203	896	1300
204	901	1296
205	904	1291
206	909	1287
207	913	1281
208	917	1277
209	921	1272
210	925	1267
211	930	1263
212	934	1258
213	937	1253
214	941	1248
215	946	1244
216	950	1239
217	954	1234
218	958	1229
219	961	1224
220	965	1219
221	969	1214
222	974	1209
223	977	1204
224	982	1200
225	986	1195
226	990	1190
227	994	1185
228	997	1180
229	1002	1176
230	1005	1171
231	1010	1167
232	1014	1162
233	1020	1159
234	1026	1157
235	1030	1153
236	1035	1148
237	1038	1143
238	1043	1139
239	1047	1134
240	1051	1129
241	1054	1124
242	1058	1119
243	1063	1115
244	1067	1111
245	1071	1106
246	1076	1102
247	1079	1097
248	1084	1093
249	1088	1088
250	1093	1084
251	1096	1079
252	1100	1074
253	1105	1070
254	1109	1066
255	1113	1061
256	1117	1057
257	1121	1052
258	1126	1047
259	1130	1043
260	1134	1039
261	1139	1035
262	1143	1030
263	1147	1025
264	1151	1021
265	1155	1016
266	1159	1011
267	1163	1007
268	1167	1002
269	1171	998
270	1175	993
271	1179	988
272	1184	984
273	1188	980
274	1191	975
275	1196	971
276	1200	966
277	1205	962
278	1212	960
279	1221	959
280	1234	962
281	1245	963
282	1253	961
283	1266	963
284	1278	964
285	1286	962
286	1291	958
287	1296	954
288	1300	949
289	1305	945
290	1309	940
291	1314	936
292	1318	931
293	1322	926
294	1327	922
295	1331	917
296	1335	912
297	1339	907
298	1343	902
299	1347	898
300	1351	893
301	1355	888
302	1360	884
303	1363	879
304	1369	875
305	1375	871
306	1379	867
307	1383	862
308	1388	858
309	1393	854
310	1397	849
311	1402	844
312	1406	840
313	1410	835
314	1414	830
315	1418	826
316	1422	821
317	1427	816
318	1430	811
319	1434	806
320	1438	802
321	1442	797
322	1446	792
323	1449	787
324	1454	783
325	1459	778
326	1462	773
327	1466	769
328	1471	764
329	1476	760
330	1480	755
331	1485	751
332	1489	747
333	1494	742
334	1498	737
335	1502	733
336	1506	728
337	1510	723
338	1514	719
339	1518	714
340	1522	709
341	1526	705
342	1529	700
343	1534	695
344	1540	692
345	1545	687
346	1550	683
347	1554	679
348	1558	674
349	1562	669
350	1566	664
351	1570	660
352	1574	655
353	1578	651
354	1582	646
355	1586	641
356	1590	637
357	1595	632
358	1600	628
359	1604	624
360	1608	619
361	1613	614
362	1617	610
363	1621	605
364	1625	601
365	1629	596
366	1633	592
367	1637	587
368	1641	582
369	1645	578
370	1649	573
371	1653	569
372	1657	564
373	1661	559
374	1665	555
375	1669	550
376	1674	546
377	1678	541
378	1682	537
379	1686	532
380	1689	527
381	1694	523
382	1697	518
383	1702	514
384	1706	509
385	1711	505
386	1715	500
387	1719	496
388	1722	491
389	1726	487
390	1730	482
391	1734	477
392	1738	473
393	1742	468
394	1747	464
395	1751	460
396	1755	455
397	1759	450
398	1764	446
399	1767	441
400	1772	437
401	1775	432
402	1780	428
403	1784	424
404	1788	419
405	1792	414
406	1795	410
407	1799	405
408	1803	401
409	1807	396
410	1811	392
411	1815	387
412	1820	383
413	1823	378
414	1827	374
415	1832	370
416	1836	365
417	1840	361
418	1844	356
419	1848	352
420	1853	347
421	1857	343
422	1861	338
423	1865	334
424	1870	330
425	1874	325
426	1878	321
427	1882	316
428	1886	312
429	1889	307
430	1894	303
431	1899	298
432	1902	294
433	1906	289
434	1910	285
435	1914	280
436	1918	276
437	1922	272
438	1926	267
439	1930	263
440	1934	258
441	1939	254
442	1943	250
443	1947	245
444	1952	241
445	1956	236
446	1960	232
447	1964	227
448	1968	223
449	1972	219
450	1976	214
451	1980	210
452	1984	205
453	1988	201
454	1992	197
455	1996	192
456	2000	188
457	2004	183
458	2008	179
459	2012	175
460	2016	170
461	2021	166
462	2025	161
463	2029	157
464	2033	153
465	2037	148
466	2042	144
467	2046	139
468	2051	135
469	2055	131
470	2059	126
471	2063	122
472	2067	118
473	2071	113
474	2075	109
475	2079	104
476	2083	100
477	2087	96
478	2091	91
479	2095	87
480	2099	82
481	2103	78
482	2107	74
483	2111	69
484	2116	65
485	2120	61
486	2124	56
487	2128	52
488	2132	47
489	2136	43
490	2140	39
491	2144	34
492	2148	30
493	2153	26
494	2157	21
495	2161	17
496	2165	13
497	2169	8
498	2173	4
499	2177	0
