f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,label
1,40.07468032836914,3.020913600921631,2,6,4,3.570464611053467,1,1,5,0,2,45,478,1
1,29.42860984802246,2.9413034915924072,2,10,4,1.6992394924163818,1,1,5,0,2,177,1,1
1,17.21213722229004,5.695618629455566,2,5,5,1.5658738613128662,0,0,0,1,2,269,1246,0
1,38.467010498046875,7.680891513824463,2,6,6,11.003822326660156,1,1,12,0,2,0,1,1
1,34.14922332763672,1.825347900390625,2,6,5,1.2625057697296143,1,0,0,1,2,255,1,0
0,25.52985382080078,0.0,2,8,3,1.3036450147628784,0,1,3,1,2,114,1297,0
0,52.644264221191406,13.352288246154785,2,8,4,5.527253150939941,1,1,7,0,1,4,4259,1
1,30.14578628540039,1.5803710222244263,2,5,3,0.591934859752655,1,0,0,1,2,247,1,0
1,30.14679718017578,2.952294111251831,2,5,6,4.684934616088867,1,1,1,0,2,324,1,1
1,21.024747848510742,2.569380760192871,2,8,3,0.7723838090896606,0,1,1,1,2,122,364,0
1,27.115148544311523,5.905439376831055,2,5,6,1.4071297645568848,1,1,6,0,2,230,1614,1
1,27.307373046875,1.5503325462341309,1,10,4,0.10480058193206787,1,0,0,0,2,191,282,1
1,29.8856258392334,7.8111958503723145,2,9,4,3.683438301086426,1,1,4,1,2,68,1,1
0,20.630895614624023,9.278386116027832,2,6,6,2.8784353733062744,1,1,6,0,2,105,3268,1
1,32.50926971435547,2.392031669616699,2,13,4,2.199450969696045,0,1,3,1,1,210,1,0
1,60.99618911743164,5.814973831176758,2,9,5,8.8238525390625,1,1,8,1,1,61,8818,1
1,37.149330139160156,3.1595959663391113,2,4,5,1.4436731338500977,1,1,7,0,2,128,1216,1
1,33.96379852294922,3.1910667419433594,2,8,4,2.8201968669891357,1,1,11,0,2,334,1866,1
1,34.083229064941406,0.836179256439209,2,11,4,2.5012123584747314,1,1,4,1,2,193,147,1
1,31.17616844177246,4.310028076171875,1,9,4,3.3515000343322754,1,1,5,1,2,282,1540,1
1,33.26539611816406,1.4934496879577637,2,10,5,1.4324404001235962,1,0,0,0,2,213,1,1
1,18.07722282409668,4.529496192932129,2,6,4,0.5238277316093445,0,0,0,0,2,150,1,0
1,22.701684951782227,0.5853521227836609,2,6,5,0.5793690085411072,1,1,4,0,2,98,1,0
1,36.46223068237305,10.898577690124512,2,5,6,5.178028106689453,1,0,0,1,2,98,1,1
0,31.48255729675293,3.726203680038452,2,5,5,0.8697547912597656,1,0,0,0,2,380,1,0
1,40.86555480957031,3.5370726585388184,2,5,4,0.47262853384017944,1,1,3,1,2,397,1,0
1,31.303247451782227,4.798849105834961,2,6,3,0.30858808755874634,0,0,0,0,2,352,1404,0
1,38.36198425292969,10.319059371948242,2,5,5,8.21290397644043,1,1,5,1,2,78,1419,1
1,36.304779052734375,4.79814338684082,2,5,5,4.19191312789917,1,1,5,0,2,119,2275,1
1,36.48845672607422,6.3500518798828125,2,11,4,0.0,1,1,5,1,2,239,1135,1
1,33.94852066040039,15.98735523223877,2,8,6,6.076282024383545,1,0,0,0,2,333,1,0
0,35.528839111328125,1.520803689956665,2,7,7,0.7898328900337219,1,1,12,1,2,178,2116,1
0,28.75198745727539,1.6053378582000732,2,5,5,0.0,0,0,0,0,2,248,591,0
1,35.71685791015625,9.721991539001465,2,7,3,3.862900733947754,1,1,6,0,2,0,1007,1
0,24.80636215209961,1.0992305278778076,2,10,4,1.8464101552963257,1,1,8,0,2,305,1825,1
