f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,label
1,18.484765010053984,4.445569618268843,2,8,5,0.1833725800173625,1,0,1,0,2,560,4,0
1,21.98950276369571,1.3438663210509565,1,6,8,1.4664245432005614,1,0,2,1,2,3,269,1
1,42.80664372852792,3.132751157877684,2,13,1,9.742611276872186,0,0,7,1,2,33,229,1
1,38.421519679057006,10.561227008805858,2,4,4,0.5025993723543615,0,0,6,0,2,115,211,1
1,19.24513295945064,2.2109752603659945,2,10,4,5.686194441124268,0,1,14,1,2,408,1838,0
1,59.56418361486218,11.085015636387816,2,2,4,0.3203725495111572,0,0,0,0,2,75,328,0
0,16.98037517947156,4.87606220842935,2,12,8,4.088044074692608,0,0,3,1,2,195,2398,1
0,27.884711342600127,7.353232673490401,2,5,8,5.408989910491607,0,1,6,1,2,3,1289,1
0,51.11423965503953,2.3252680667015824,2,2,9,0.9423769993193236,0,0,3,0,2,433,66,0
0,35.000709500634805,1.5888092089019197,1,10,4,8.957729836862118,1,1,14,1,2,138,4056,1
0,30.66540536238705,1.8144024907633596,2,4,8,1.8891079444046224,0,0,1,0,1,1,2,0
0,43.29493301455172,14.490576796751077,1,3,1,2.678724751914284,1,1,22,0,2,455,1182,1
1,36.46096071085088,0.0018089188918616,2,3,4,1.664036866645263,0,0,0,0,1,227,3,0
1,36.62516997787844,0.8401425199622716,2,9,4,0.3577435347992306,0,0,1,0,2,0,22,1
0,25.623621136046232,5.013612001559775,2,14,8,1.400042718068124,1,1,20,1,2,35,1378,1
1,21.196516517057443,2.6959891308440023,2,8,4,7.370799183738072,1,1,6,0,2,563,2,1
0,25.34871706833863,13.037939791799252,2,12,4,1.3873279325765238,0,0,5,0,2,513,521,0
0,25.89138214066042,2.592952781140796,2,8,4,5.64195031964013,1,1,10,1,2,5,1169,0
1,56.275108276929714,11.789857913321732,1,13,3,5.858223834662947,1,0,6,0,2,11,1168,1
1,32.249912535683144,3.262154882430122,2,6,4,3.2215376797807025,0,0,1,1,2,223,9,0
0,24.395241952125907,1.238787578663358,2,7,8,0.3384642448492574,0,0,2,0,2,196,536,0
0,62.165374560238575,0.2796064761872874,2,8,4,2.34092600257072,0,0,2,0,2,253,2,1
1,33.91789620056788,0.3952167806539257,2,5,4,0.4646028367392909,0,0,7,0,2,136,274,0
1,35.75587556396288,4.998649645940154,1,3,8,0.5715845024079396,1,0,6,1,2,65,7,1
