f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,label
0,45.49,0.0,2,1,4,0.0,1,0,0,0,2,294,957,1
1,13.75,7.06,2,6,4,0.0,0,0,0,1,2,135,788,1
0,25.31,2.153,2,8,7,0.0,1,1,0,1,2,7,599,1
1,13.75,0.867,2,6,7,0.0,1,0,3,0,2,69,512,1
0,14.5,0.0,2,14,4,0.0,0,0,0,0,2,94,232,1
1,51.41,5.98,2,7,4,0.193,1,0,0,0,2,126,692,0
0,29.98,0.0,2,1,4,0.0,1,0,0,0,3,20,748,0
0,13.75,0.877,1,1,8,0.0,0,0,1,1,2,244,669,1
1,13.75,2.583,2,8,5,0.0,1,1,0,0,2,187,1,0
1,21.8,1.389,2,1,4,0.0,0,0,0,1,2,0,160,0
1,48.58,0.0,2,9,4,1.012,1,1,0,1,2,2,1,0
1,48.59,1.874,2,1,4,0.0,1,0,1,0,2,70,226,0
1,13.75,1.008,1,9,1,0.0,1,0,6,0,2,57,566,0
0,23.15,1.232,2,1,5,0.0,0,0,0,0,2,387,566,0
1,13.75,1.068,2,1,8,0.0,1,1,0,1,2,0,674,0
1,16.25,0.0,3,8,8,0.251,0,0,0,1,2,14,561,0
1,39.36,13.099,1,1,4,0.569,1,0,0,1,2,137,561,0
0,26.69,2.15,2,14,4,17.366,0,0,0,1,1,241,108,0
0,13.75,1.468,2,8,1,0.0,0,0,0,1,2,221,655,0
1,30.39,1.875,1,10,4,0.0,0,0,1,1,2,45,287,1
1,32.43,1.057,2,1,7,0.0,0,0,0,1,2,133,13303,0
1,13.75,1.386,1,7,5,0.0,0,1,0,1,2,0,1,0
0,13.75,1.801,2,10,4,5.323,0,0,0,0,1,171,7274,0
0,13.75,0.836,2,10,8,0.0,0,0,0,1,2,122,610,0
0,16.23,11.103,1,13,1,7.89,1,1,1,0,2,0,514,1
1,16.21,0.0,1,6,4,0.0,1,0,0,0,2,1029,968,1
1,13.75,2.28,2,13,4,0.0,0,0,0,1,2,179,488,0
0,13.75,2.888,2,2,8,5.877,0,0,0,0,2,61,16,0
0,36.27,10.562,2,2,9,0.0,1,0,1,0,2,398,400,0
1,13.82,3.125,1,2,4,0.0,1,0,0,0,2,0,583,1
1,13.75,1.766,2,5,4,1.902,0,1,0,1,2,48,741,1
1,13.75,2.071,1,1,4,0.839,1,0,1,0,2,271,801,1
1,13.75,0.235,1,1,4,0.0,0,1,0,1,2,349,898,0
1,15.37,2.122,2,9,4,0.001,0,0,0,0,3,25,1,1
1,19.89,2.35,2,1,4,1.101,1,1,1,0,2,124,677,0
0,41.02,0.0,2,1,4,0.0,0,0,0,1,2,28,201,1
