f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,label
1,30.14,1.322,2,3,4,0.502,0,0,1,1,2,168,66,0
1,22.2,1.095,2,9,4,0.0,0,0,0,0,2,120,1,0
1,30.68,1.077,2,1,4,0.457,0,0,0,0,2,168,147,0
1,23.59,1.244,2,2,4,0.485,1,0,0,1,2,98,1,0
1,20.8,9.402,2,10,4,0.626,1,1,0,0,2,145,45,1
1,24.85,0.501,2,3,4,1.177,0,0,0,0,2,192,171,0
1,28.73,2.344,2,4,4,0.0,0,0,0,0,2,156,263,0
1,22.0,7.034,2,14,4,0.253,1,1,3,0,2,115,26,1
1,59.2,6.249,2,12,4,1.5,1,1,12,0,2,0,53,1
1,38.11,1.836,2,10,4,1.393,1,1,0,1,2,317,52,1
1,27.83,0.974,2,8,4,0.334,1,0,0,1,2,165,4,0
1,26.57,1.694,2,8,4,0.053,0,0,1,0,2,177,1,0
1,20.08,1.118,2,8,4,0.211,0,0,0,1,2,163,54,0
1,36.32,0.08,2,8,4,0.0,1,0,0,0,2,414,36,0
1,23.29,0.554,2,10,4,0.0,1,1,0,0,2,137,125,1
1,17.18,0.804,2,8,4,0.301,0,0,1,0,2,128,107,0
1,29.36,1.888,2,12,4,0.986,1,0,0,1,2,425,74,0
1,27.39,0.089,2,8,4,1.943,1,1,0,1,2,204,1,1
1,23.23,1.354,2,2,4,0.412,0,0,0,0,2,140,1,0
1,48.92,1.558,2,9,4,0.0,1,1,0,0,2,58,1,1
1,35.43,0.172,2,9,4,0.201,0,0,0,1,2,149,470,0
1,23.9,1.767,2,4,4,0.171,0,0,0,0,2,194,1,0
1,29.34,1.729,2,2,4,0.299,1,1,0,0,2,0,1,0
1,19.57,0.0,2,3,4,0.13,0,0,0,0,2,56,216,0
1,16.97,1.74,2,8,4,2.192,1,1,0,1,2,151,84,1
1,20.46,1.083,2,7,4,0.406,0,0,0,0,2,129,137,0
1,26.42,1.44,2,5,4,0.054,0,0,0,0,2,108,188,0
1,24.36,0.769,2,8,4,0.0,0,0,0,1,2,197,5,0
1,22.39,0.785,2,8,4,0.319,0,0,0,0,2,121,1,0
1,25.93,10.083,2,13,4,0.426,1,1,0,1,2,179,122,1
1,24.69,0.0,2,8,4,0.046,0,0,0,0,2,68,206,0
1,36.37,0.647,2,5,4,0.576,0,0,0,1,2,431,57,0
1,27.85,2.322,2,8,4,0.499,1,0,0,1,2,127,347,0
1,18.73,1.014,2,10,4,0.218,1,0,0,0,2,198,22,0
1,19.29,1.648,2,8,4,0.156,0,0,0,0,2,118,373,0
1,23.81,0.0,2,2,4,0.323,0,0,0,0,2,95,404,0
1,26.35,1.886,2,8,4,0.0,1,1,0,0,2,85,1,1
1,32.19,1.639,2,1,4,0.0,0,0,0,0,2,142,1,0
1,15.21,11.53,2,8,4,0.933,1,1,4,0,2,70,23,1
1,21.48,0.557,2,2,4,0.136,0,0,0,0,2,126,1,0
1,22.79,0.021,2,1,4,0.096,0,0,0,0,2,179,1,0
1,17.32,1.629,2,8,4,0.409,1,0,0,0,2,151,1,1
1,22.61,0.471,2,3,4,0.289,0,0,0,0,2,73,273,0
1,37.83,0.392,2,12,4,2.332,1,1,0,1,2,104,1,1
1,25.22,0.671,2,9,4,0.668,1,0,0,0,2,162,1,1
1,19.07,1.527,2,9,4,1.804,1,1,0,1,2,139,198,1
1,27.73,0.521,2,9,4,0.0,0,0,0,1,2,75,8,0
1,21.99,1.98,2,8,4,0.681,1,1,0,1,2,86,7,1
1,36.96,14.209,2,13,4,2.778,1,1,2,1,2,0,64,1
1,22.74,1.419,2,9,4,0.516,0,0,0,1,2,219,1,0
1,19.81,0.587,2,8,4,0.369,0,0,0,0,2,152,151,0
1,25.11,1.863,2,7,4,0.0,0,0,0,1,2,180,217,0
1,28.7,1.131,2,4,4,0.545,0,0,0,1,2,219,229,0
1,20.95,0.915,2,3,4,0.0,0,0,0,0,2,56,2,0
1,24.78,12.631,2,12,4,2.909,1,1,2,0,2,8,168,1
1,22.44,0.576,2,7,4,0.505,0,1,0,0,2,159,44,0
1,38.07,1.084,2,4,4,0.552,0,0,0,1,2,155,79,0
1,22.1,1.148,2,14,4,2.427,1,1,0,0,2,409,64,1
1,23.83,0.837,2,9,4,0.207,0,0,0,0,2,185,44,0
1,45.46,0.854,2,6,4,0.558,0,0,0,1,2,436,1,0
1,31.53,1.155,2,3,4,0.0,0,0,0,0,2,100,61,0
1,24.7,2.151,2,8,4,0.252,0,0,1,1,2,39,76,0
1,24.5,0.904,2,8,4,0.158,0,1,0,1,2,116,281,0
1,15.15,0.166,2,8,4,0.31,1,1,0,0,2,244,227,0
1,43.43,2.884,2,4,4,0.35,1,0,0,0,2,178,1,0
0,39.8,9.081,2,11,4,0.0,1,1,10,0,2,0,33,1
1,24.04,0.0,2,8,4,0.435,0,0,0,1,2,132,25,0
1,20.18,0.389,2,8,4,0.419,0,0,0,0,2,122,1,0
1,34.93,1.387,2,9,4,3.0,1,0,0,1,2,237,13,1
1,19.77,0.0,2,2,4,0.102,0,0,0,0,2,162,1,0
1,25.21,1.225,2,9,4,0.0,0,0,1,0,2,184,1,0
1,35.13,2.518,2,4,4,0.0,0,0,0,1,2,223,39,0
1,35.03,1.401,2,8,4,0.837,0,0,1,1,2,183,26,0
1,36.57,7.432,2,12,4,2.947,1,1,8,1,2,28,115,1
1,41.0,3.037,2,8,4,0.229,1,0,0,1,2,225,1,0
1,23.27,1.807,2,12,4,2.297,1,1,0,1,2,80,160,1
1,31.6,0.272,2,4,4,0.899,1,0,0,1,2,18,51,1
1,32.78,1.83,2,13,4,2.523,1,1,4,0,2,138,250,1
1,20.9,0.45,2,9,4,0.636,0,0,1,1,2,203,1,0
1,23.73,0.278,2,8,4,0.815,0,0,0,1,2,142,1,0
1,45.97,0.443,2,13,4,6.582,1,1,8,0,2,17,1,1
1,34.55,2.265,2,3,4,0.488,0,0,0,1,2,129,159,0
1,24.72,2.735,2,12,4,0.0,1,0,0,1,2,179,1,0
1,15.61,1.429,2,9,4,0.491,1,1,0,0,2,102,106,0
1,26.06,1.572,2,8,4,0.858,0,0,0,0,2,80,68,0
1,36.18,1.039,2,3,4,0.208,0,0,0,1,2,119,1,0
1,18.34,0.059,2,8,4,0.505,0,0,0,0,2,179,176,0
1,26.22,1.512,2,10,4,0.466,1,1,0,0,2,69,1,1
1,32.74,1.096,2,10,4,0.483,1,1,0,1,2,15,1,1
1,20.94,0.323,2,8,4,0.654,0,0,0,0,2,119,1,0
1,19.2,11.45,2,12,4,2.707,1,1,2,0,2,202,287,1
1,32.81,1.624,2,11,4,0.931,1,0,0,1,2,174,1,1
1,54.32,1.693,2,4,4,0.404,1,0,0,0,2,0,95,1
1,28.68,0.889,2,3,4,0.299,0,0,0,0,2,154,250,0
1,33.63,10.338,2,13,4,2.051,1,1,5,1,2,516,420,1
1,27.13,1.82,2,7,4,0.0,1,0,0,0,2,88,1,0
1,18.04,0.563,2,8,4,0.0,0,0,0,1,2,119,45,0
1,27.05,2.367,2,8,4,0.604,0,0,0,0,2,80,1,0
1,24.84,1.42,2,3,4,0.0,0,0,0,0,2,97,28,0
1,21.54,1.117,2,9,4,0.0,1,1,0,0,2,185,1,1
1,25.07,0.956,2,8,4,2.734,1,1,1,0,2,151,1,1
1,24.83,0.371,2,3,4,0.427,0,0,0,0,2,113,1,0
1,45.04,0.793,2,8,4,0.483,1,0,0,1,2,382,48,0
0,44.95,9.527,2,13,4,0.715,1,1,10,0,2,36,145,1
1,34.51,15.153,2,8,4,2.54,1,1,7,1,2,40,187,1
1,28.31,0.375,2,4,4,0.43,1,0,0,0,2,217,1,1
1,23.06,0.715,2,5,4,0.59,0,0,0,0,2,403,2,0
1,33.05,1.102,2,12,4,0.739,1,1,0,1,2,317,190,1
1,30.06,2.642,2,9,4,2.505,1,0,0,1,2,180,403,1
1,40.5,1.231,2,10,4,0.512,1,1,0,1,2,63,90,1
1,47.27,1.506,2,10,4,0.0,1,0,0,0,2,109,1,0
1,25.83,0.595,2,2,4,0.192,0,0,0,1,2,142,234,0
1,26.35,9.416,2,14,4,1.931,1,1,14,0,2,117,1,1
1,29.87,2.236,2,9,4,2.131,1,1,0,1,2,134,1,1
1,17.4,0.0,2,9,4,0.0,0,0,0,0,2,122,2,0
1,36.89,0.838,2,11,4,0.623,1,1,0,0,2,94,142,1
1,39.17,1.115,2,2,4,0.252,0,0,0,1,2,273,95,0
1,25.98,10.001,2,14,4,0.09,1,1,1,0,2,68,255,1
1,29.13,0.198,2,10,4,0.309,1,1,0,0,2,233,103,1
1,22.57,1.078,2,8,4,0.574,0,0,0,1,2,149,91,0
1,31.77,12.924,2,14,4,3.13,1,1,15,1,2,19,297,1
1,17.91,1.195,2,12,4,0.361,1,1,0,0,2,126,1,1
1,25.07,0.995,2,1,4,0.308,1,0,0,0,2,180,1,0
1,34.23,1.711,2,8,4,0.0,0,0,0,1,2,233,95,0
0,25.45,7.989,2,11,4,0.849,1,1,2,0,2,123,1,1
1,32.66,0.0,2,3,4,0.217,0,0,1,0,2,165,1,0
1,18.76,1.981,2,14,4,1.784,1,1,0,1,2,127,445,1
1,21.01,1.085,2,3,4,0.179,0,0,0,0,2,179,143,0
1,22.16,1.46,2,11,4,2.242,1,1,0,1,2,376,1,1
1,46.58,1.634,2,8,4,0.548,1,0,0,1,2,178,1,1
1,34.8,8.86,2,11,4,0.264,1,1,2,0,2,5,1,1
1,21.13,1.208,2,2,4,0.358,0,0,0,0,2,73,1,0
1,23.32,1.213,2,11,4,0.308,1,1,0,0,2,145,155,1
1,21.27,1.704,2,8,4,0.141,0,0,0,0,2,89,324,0
