f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,label
1,44.94064712524414,12.476079940795898,2,10,4,4.498409748077393,1,1,8,0,2,316,5223,1
1,32.16204071044922,9.782365798950195,1,9,4,3.1656765937805176,1,1,7,0,2,397,15054,1
1,23.356666564941406,4.42314338684082,2,13,4,4.40596866607666,1,0,0,0,2,95,2283,0
1,37.908992767333984,6.583507537841797,2,11,7,6.683867454528809,1,1,8,0,2,308,1051,0
1,42.09554290771485,11.903461456298828,1,10,8,6.534541130065918,1,1,11,0,2,55,1360,1
1,29.430179595947266,2.194364309310913,2,12,5,2.3561031818389893,1,0,0,0,2,118,1,0
0,26.022357940673828,14.38245964050293,2,10,4,2.4898152351379395,1,1,8,1,2,194,1588,1
1,21.154550552368164,11.663339614868164,2,6,3,0.2721013724803924,0,1,2,0,2,50,1,1
0,25.984037399291992,12.463973999023438,1,2,4,1.093730092048645,0,1,2,0,2,219,1,0
1,21.68334197998047,0.0,2,6,3,0.0,1,0,0,1,2,323,1121,0
1,17.401945114135742,0.7343659400939941,2,14,7,0.0,0,1,2,1,2,70,1,1
0,35.88314437866211,0.0,2,4,8,2.9273836612701416,0,0,0,1,2,339,1,0
0,26.117189407348636,4.465793609619141,2,8,5,13.651640892028809,1,0,0,0,2,211,1595,0
1,33.381553649902344,4.573697090148926,2,3,5,2.943612575531006,0,1,3,0,2,22,141,1
1,27.6757869720459,0.0,2,8,4,0.6189689040184021,0,0,0,1,2,255,1,1
1,29.98176383972168,8.622018814086914,2,8,4,0.1647249460220337,0,0,0,0,2,284,166,0
1,30.263193130493164,8.600930213928223,1,11,4,0.6611012816429138,0,1,11,0,2,171,1,0
1,46.43982696533203,2.917258977890014,1,6,3,2.0544025897979736,0,0,0,1,2,220,1,1
0,66.56169891357422,3.42699670791626,2,7,4,1.5272557735443115,0,0,0,0,2,129,1,1
1,34.38725662231445,1.1306779384613037,2,9,4,1.927417516708374,1,1,7,1,2,219,1107,0
1,22.053674697875977,2.512838840484619,2,14,7,0.0,1,0,0,0,2,34,160,0
0,46.85591506958008,9.497690200805664,1,3,5,6.560601234436035,1,1,8,1,2,48,1031,0
1,20.847484588623047,1.735795497894287,2,2,1,0.0,0,0,0,0,2,178,8,0
0,32.47229766845703,2.591315984725952,2,9,7,1.7339508533477783,0,0,0,1,2,244,1,1
0,19.83039283752441,0.0,2,7,4,0.5756951570510864,1,0,0,1,2,331,5,1
1,66.56169891357422,16.048686981201172,2,3,5,13.661290168762209,1,1,10,1,2,100,248,1
1,41.72388458251953,15.276765823364258,2,11,7,7.645847797393799,1,1,10,1,2,282,3602,1
1,26.866365432739254,5.626069068908691,2,11,7,1.5561408996582031,0,1,2,1,2,0,195,0
1,36.083927154541016,1.0989785194396973,1,3,3,1.4443812370300293,1,1,3,0,2,347,1,0
1,28.87593460083008,4.420526027679443,2,7,4,0.0,1,1,7,1,2,81,1318,0
0,48.066986083984375,0.9021525382995604,2,14,9,6.874156951904297,1,1,4,0,2,123,620,0
1,40.01130676269531,0.0,2,14,7,2.8056769371032715,0,1,2,0,2,271,252,0
1,21.703638076782227,4.820648193359375,1,6,5,1.2810726165771484,1,1,6,1,2,30,1002,0
1,26.37249755859375,6.438809394836426,1,8,4,0.0,1,0,0,0,2,241,27,1
1,21.175844192504883,3.514503002166748,2,5,4,0.0,0,1,2,1,2,138,461,0
1,27.252979278564453,7.1258087158203125,2,6,6,0.417446494102478,0,0,0,0,2,212,656,0
1,32.855125427246094,0.758944034576416,2,12,8,4.435701370239258,1,0,0,1,2,94,343,1
1,25.532167434692383,3.669779062271118,2,6,3,0.1206387281417846,0,0,0,1,2,283,1,1
