f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,label
0,17.705577850341797,0.010206913575530052,1,5,1,0.0030348519794642925,0,0,0,0,2,86,1,0
1,24.593645095825195,1.2608907222747803,2,8,4,0.25070956349372864,0,0,0,0,2,110,6,0
1,23.77478790283203,11.969391822814941,2,8,4,2.0778286457061768,0,0,0,0,1,80,1,0
1,31.58696174621582,0.04664585739374161,1,2,4,4.244710445404053,0,0,0,1,2,460,4,0
1,20.6503849029541,5.288714408874512,2,11,4,0.3839092552661896,1,1,1,0,2,160,1,0
1,33.56945037841797,0.24596092104911804,2,3,5,3.9920523166656494,0,0,0,1,1,419,6,0
1,22.58316421508789,1.5152418613433838,1,6,4,0.5472856760025024,0,0,0,1,2,120,73,0
0,30.591949462890625,10.649365425109863,2,11,8,0.08967974036931992,0,1,12,1,2,129,8,0
1,23.513153076171875,2.7457566261291504,2,1,1,4.483323097229004,0,0,0,0,2,160,22,0
0,37.30744552612305,2.504492998123169,2,3,8,0.22025038301944733,0,0,0,0,2,259,237,0
1,29.507431030273438,0.5884559154510498,2,9,4,0.2941780388355255,0,1,1,0,2,339,2795,0
0,19.174373626708984,0.5918910503387451,1,6,4,0.588829755783081,1,0,0,1,2,160,1,0
0,16.379405975341797,0.20561668276786804,2,6,4,0.12452986091375351,0,0,0,0,2,200,1,0
1,20.77166175842285,5.073444843292236,1,5,4,0.28599730134010315,0,0,0,0,2,141,189,0
1,33.971004486083984,5.484432220458984,1,8,4,1.4981800317764282,0,0,0,1,2,61,1,0
1,16.359464645385742,4.086160182952881,2,3,8,0.4062242805957794,0,0,0,1,2,120,1,0
1,29.280933380126953,12.984602928161621,2,2,8,0.5073153972625732,0,0,0,0,2,228,1,0
1,17.973529815673828,0.2137415111064911,2,6,4,0.04485204070806503,0,0,0,0,2,280,760,0
1,21.572784423828125,0.7845232486724854,1,13,4,0.6641265153884888,0,0,0,0,2,160,1,0
1,16.270158767700195,0.8485219478607178,2,7,4,0.08164551109075546,1,0,0,0,1,200,1,0
1,32.29427719116211,2.49409556388855,2,8,4,1.2545970678329468,0,0,0,1,2,280,1,0
1,29.83098030090332,2.0470829010009766,1,14,8,0.03582098335027695,0,0,0,0,2,128,6,0
0,31.7270450592041,3.0014395713806152,1,5,3,0.0,0,0,0,0,2,160,27,0
1,43.145755767822266,4.979364395141602,2,3,5,2.2482964992523193,0,0,0,1,2,141,1,0
0,20.09803009033203,1.2566239833831787,2,8,4,0.0022158841602504253,0,0,0,0,2,0,3,0
0,19.53242301940918,0.17186996340751648,2,11,4,0.0521860346198082,0,0,0,1,2,379,5,0
0,19.776281356811523,0.7544159889221191,2,8,4,0.7981843948364258,1,1,5,1,2,140,1,0
1,31.253398895263672,1.1238830089569092,2,1,1,0.005003474187105894,0,1,1,0,2,96,23,0
1,37.30229568481445,2.6636509895324707,2,13,4,0.1680305153131485,0,0,0,1,2,0,500,0
0,15.999662399291992,0.16501113772392273,2,6,4,1.0008766651153564,0,1,2,1,2,320,9,0
1,16.263315200805664,0.8373634815216064,2,7,4,0.09062459319829941,1,0,0,0,1,200,1,0
1,25.606578826904297,0.3308269679546356,2,4,8,3.4979617595672607,0,0,0,1,2,340,13,0
