age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,label
48,7,2,3,0,0,0,0,0,0,106,3,999,0,1,-1.8016215562820435,93.07524871826172,-47.08115768432617,1.4052538871765137,5099.3251953125,0
30,3,1,5,0,2,0,0,1,1,105,3,998,0,1,1.3988587856292725,93.44351959228516,-36.11624526977539,4.96243953704834,5227.95849609375,0
29,0,2,6,0,0,2,0,1,4,446,2,999,0,1,1.3993053436279297,93.44473266601562,-36.10468673706055,4.965606212615967,5228.048828125,0
30,3,1,3,1,0,0,1,4,4,483,5,999,0,1,1.3994866609573364,94.46208953857422,-41.7879638671875,4.956248760223389,5227.9208984375,0
42,1,0,2,0,0,2,0,6,4,299,5,999,1,0,-1.7958145141601562,92.89334869384766,-46.1855354309082,1.2896630764007568,5099.15185546875,0
51,7,1,3,1,2,0,1,4,0,247,2,999,0,1,1.4,94.46435546875,-41.7961311340332,4.9678168296813965,5227.99853515625,0
40,9,1,5,0,2,0,0,1,2,156,3,999,0,1,1.3991070985794067,93.44440460205078,-36.104736328125,4.96443510055542,5227.98291015625,0
41,6,1,6,0,0,0,0,1,1,247,2,999,0,1,1.3999308347702026,93.44537353515625,-36.10980987548828,4.964906692504883,5228.1,0
30,0,0,6,0,2,0,1,3,3,398,9,999,0,1,1.3959838151931763,93.91744995117188,-42.694801330566406,4.958613872528076,5228.1,0
54,1,1,0,1,0,0,0,6,1,109,1,999,0,1,-1.7955141067504883,92.89403533935547,-46.19929504394531,1.245905876159668,5099.1826171875,0
22,8,2,3,0,2,0,0,0,0,14,3,999,0,1,-1.7927404642105103,93.07515716552734,-47.086334228515625,1.4115862846374512,5099.2177734375,0
43,4,0,6,0,2,0,0,3,3,77,1,999,0,1,1.3989498615264893,93.91920471191406,-42.692718505859375,4.962855815887451,5227.91748046875,0
37,1,1,2,0,2,0,0,5,3,158,1,999,1,0,-1.7965080738067627,93.37088012695312,-34.805660247802734,0.6421254277229309,5009.09130859375,0
48,1,1,1,1,2,0,0,6,4,282,4,998,0,1,-1.7992866039276123,92.89417266845703,-46.19146728515625,1.3318572044372559,5099.15966796875,0
49,1,1,3,0,2,0,0,6,3,177,2,999,0,1,-1.7939156293869019,92.89459228515625,-46.184661865234375,1.2985765933990479,5099.416015625,0
38,9,1,5,0,0,0,0,3,2,561,2,999,0,1,-1.6971746683120728,94.21399688720703,-40.295066833496094,0.8494132161140442,4991.8564453125,0
32,9,2,3,0,0,0,0,1,3,163,10,999,0,1,1.3990148305892944,93.4447250366211,-36.10732650756836,4.963159084320068,5228.025390625,0
40,9,1,5,1,2,0,1,4,1,93,1,999,0,1,1.4,94.46542358398438,-41.798423767089844,4.9594316482543945,5228.060546875,0
51,7,1,3,1,0,2,0,1,3,20,5,999,0,1,1.4,93.44384002685547,-36.09596252441406,4.9647345542907715,5227.99658203125,0
28,1,1,1,0,2,0,1,6,3,312,2,999,0,1,1.1014776229858398,93.9924087524414,-36.41192626953125,4.858538627624512,5191.07177734375,0
32,1,2,3,0,2,0,0,6,2,205,3,999,0,1,-1.7932100296020508,92.8924331665039,-46.18815612792969,1.2709541320800781,5099.0625,0
32,0,2,6,1,2,0,0,1,0,256,1,999,0,1,1.399000883102417,93.44386291503906,-36.108062744140625,4.958958625793457,5228.0654296875,0
42,1,1,2,0,0,0,1,4,1,130,2,999,0,1,1.3967463970184326,94.46338653564453,-41.800819396972656,4.956645965576172,5228.01171875,0
46,0,1,3,0,2,0,0,0,1,166,5,999,4,0,-1.7957255840301514,93.74810028076172,-34.61128616333008,0.6521912217140198,5008.9404296875,0
40,0,0,6,1,2,0,0,1,4,112,1,999,0,1,1.4,93.44400024414062,-36.100318908691406,4.961256980895996,5228.0751953125,0
