scenario,model,accuracy,precision,recall,f1,roc_auc
original_train_test,Logistic,0.78,0.6739130434782609,0.5166666666666667,0.5849056603773585,0.783452380952381
original_train_test,XGBoost,0.77,0.6666666666666666,0.4666666666666667,0.5490196078431373,0.7946428571428571
original_train_test,LightGBM,0.77,0.6590909090909091,0.48333333333333334,0.5576923076923077,0.7891666666666667
original_train_test,CatBoost,0.765,0.6326530612244898,0.5166666666666667,0.5688073394495413,0.8022619047619048
synthetic_train_test,Logistic,0.86,0.6,0.375,0.46153846153846156,0.8342633928571429
synthetic_train_test,XGBoost,0.88,0.6666666666666666,0.5,0.5714285714285714,0.7978050595238095
synthetic_train_test,LightGBM,0.85,0.5384615384615384,0.4375,0.4827586206896552,0.7925967261904763
synthetic_train_test,CatBoost,0.875,0.6521739130434783,0.46875,0.5454545454545454,0.8102678571428571
synthetic_train_original_test,Logistic,0.753,0.6167400881057269,0.4666666666666667,0.5313092979127134,0.7699761904761905
synthetic_train_original_test,XGBoost,0.78,0.6923076923076923,0.48,0.5669291338582677,0.8214761904761906
synthetic_train_original_test,LightGBM,0.773,0.6540084388185654,0.5166666666666667,0.5772811918063314,0.809404761904762
synthetic_train_original_test,CatBoost,0.77,0.65625,0.49,0.5610687022900763,0.8102095238095238
