f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,label
4,10,3,26,2,1,2,4,1,35,3,2,1,1,1,1,0,1,0,0,1,0,0,1,0
4,4,4,159,1,4,2,3,2,47,3,1,1,1,1,0,0,1,0,1,0,0,0,1,0
4,17,4,16,3,4,2,2,3,56,3,1,1,2,1,0,1,0,0,0,0,0,0,1,1
1,4,2,30,1,1,3,4,1,47,3,1,1,1,1,1,0,1,0,1,1,0,0,1,0
2,11,4,31,1,4,3,4,4,26,3,2,1,1,1,0,0,1,1,0,1,0,0,0,1
2,8,4,16,1,3,4,3,4,33,3,1,1,2,1,1,0,1,0,0,1,0,0,1,0
1,20,2,159,4,3,3,1,1,31,3,1,1,1,2,0,0,1,0,0,0,0,0,1,0
2,5,4,25,1,4,3,4,4,75,2,1,1,1,1,1,0,1,0,0,1,0,0,1,1
1,25,0,29,1,5,2,1,1,37,3,1,2,1,1,0,0,1,0,0,1,0,0,1,1
2,4,4,159,1,3,3,2,3,37,3,1,2,1,1,1,0,1,0,0,0,0,1,1,1
2,22,2,24,1,4,4,1,2,35,3,1,2,1,1,0,0,1,0,1,1,0,0,1,1
1,15,4,29,1,1,4,2,3,34,3,1,1,1,1,0,0,1,0,0,0,0,1,1,1
1,21,2,30,1,3,4,4,4,35,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
1,22,4,159,1,3,3,2,1,35,3,1,1,2,1,1,0,1,0,1,0,0,0,1,0
4,4,4,28,5,5,1,4,3,52,3,1,1,1,1,0,0,1,0,0,1,0,1,0,0
4,23,2,89,1,3,2,3,4,60,3,1,1,1,1,1,1,1,1,0,1,0,1,1,0
1,9,2,44,1,5,2,2,1,75,3,2,1,2,1,1,0,1,0,1,0,0,1,1,0
3,21,2,159,1,2,1,4,3,75,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0
4,19,4,56,1,3,2,2,4,39,3,1,1,1,1,0,0,1,0,0,1,0,0,1,1
2,19,2,31,1,2,2,3,3,29,3,1,1,1,1,0,0,1,0,0,1,0,0,1,0
1,20,2,67,1,5,3,3,1,32,3,2,1,1,1,0,1,0,0,0,1,0,0,1,0
1,4,4,23,4,3,3,3,1,32,3,1,1,1,2,0,0,1,0,0,1,0,0,1,0
2,14,4,18,1,4,1,2,1,73,3,1,1,2,1,0,0,1,0,0,1,0,0,1,1
3,4,4,109,1,5,2,3,3,33,1,1,1,1,2,0,0,1,0,1,1,0,0,0,0
4,12,2,19,1,1,1,3,1,35,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1
2,4,2,32,5,3,3,3,3,43,3,2,1,1,1,0,1,1,0,1,0,0,0,1,0
4,19,2,34,5,4,2,4,1,36,3,1,1,1,2,0,0,1,0,1,1,0,0,1,0
2,7,2,31,1,3,3,4,3,75,3,1,1,1,1,1,0,1,0,0,1,0,0,0,1
2,4,4,44,5,3,2,2,1,27,3,1,1,2,1,0,0,1,0,0,1,0,1,0,0
3,4,4,50,1,5,2,2,3,75,3,1,1,2,1,0,0,1,0,1,1,0,1,0,0
2,4,2,90,2,2,4,4,3,60,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0
1,5,4,31,5,4,2,1,1,72,3,1,2,1,1,1,0,1,0,0,0,0,0,1,0
1,26,2,61,2,2,3,4,1,61,3,1,1,1,1,0,0,1,0,0,1,0,0,1,1
4,4,2,17,4,2,3,4,1,34,3,2,2,1,1,0,0,1,0,0,1,0,0,1,1
2,6,2,33,1,5,2,2,1,46,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0
4,21,2,59,1,3,3,4,2,37,2,1,1,1,1,0,0,1,0,0,1,0,0,1,0
3,5,2,28,1,4,4,4,1,48,3,2,2,1,1,0,0,1,0,0,1,0,0,1,0
2,4,4,34,1,2,4,1,3,64,3,2,2,1,1,0,0,1,0,0,1,0,0,1,1
3,22,2,107,1,3,4,4,3,37,3,2,1,1,1,0,0,1,0,0,1,0,1,1,0
1,4,2,31,5,5,1,4,4,36,1,1,1,1,2,1,0,1,0,1,1,0,0,1,0
1,31,2,60,1,4,2,4,3,57,3,1,1,2,1,0,0,1,0,0,1,0,1,1,0
2,20,2,145,3,4,2,4,3,52,1,1,1,2,1,0,1,0,0,1,1,0,0,1,0
1,21,4,110,1,1,2,4,2,36,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0
2,4,4,75,1,1,3,3,1,38,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1
1,26,4,33,3,4,3,4,1,48,1,1,1,2,2,1,0,1,0,0,1,0,0,1,0
4,4,2,31,2,1,3,3,3,45,3,1,1,1,1,0,0,1,0,0,0,0,0,1,0
1,4,2,159,1,5,3,4,3,69,3,1,1,2,1,1,0,1,0,1,1,0,0,0,1
1,19,2,24,4,3,3,4,1,34,3,1,1,1,1,1,0,1,0,0,0,0,0,0,0
4,21,2,52,1,3,3,3,3,35,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1
1,5,4,116,2,4,2,1,2,37,3,1,1,2,2,0,0,1,0,0,1,0,0,1,0
3,4,2,104,2,5,3,4,3,33,3,1,2,1,1,1,0,1,0,1,1,0,0,0,0
4,20,4,28,1,4,2,4,4,58,3,1,1,2,1,0,0,1,0,0,1,0,1,1,1
1,8,4,31,5,2,3,2,3,46,3,2,2,2,1,0,0,1,0,0,1,0,0,1,0
1,4,2,32,1,4,4,1,1,75,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1
2,33,2,12,1,2,2,4,1,35,3,1,1,1,1,1,0,0,0,0,1,0,0,1,1
2,23,1,20,5,3,3,2,1,32,1,1,1,2,1,0,0,1,0,0,1,0,0,1,1
1,4,2,30,1,3,2,2,1,27,3,2,2,1,1,0,0,1,0,1,0,0,1,1,1
2,4,4,32,1,4,3,3,1,37,3,1,1,1,1,0,0,1,0,0,0,0,0,1,0
1,21,0,123,1,3,2,1,4,44,3,1,2,2,1,1,0,1,0,1,0,0,1,0,0
4,7,2,84,1,2,2,2,4,29,3,1,2,1,1,1,0,1,1,0,1,0,0,0,0
4,4,2,58,3,4,4,4,1,60,3,1,1,2,1,0,0,1,0,0,1,0,0,0,0
2,4,4,159,1,5,3,3,3,57,3,2,1,2,1,0,0,0,0,0,0,0,1,0,0
2,41,2,26,1,2,3,2,1,44,3,1,1,2,1,0,0,0,0,0,0,0,0,1,1
2,4,3,57,2,3,1,2,2,46,3,1,1,2,1,0,0,1,0,0,1,0,0,1,0
2,10,2,81,1,5,1,2,1,75,3,1,1,1,1,0,0,1,0,0,1,0,1,1,1
4,11,2,23,1,2,3,4,1,75,3,1,1,1,1,0,0,1,0,0,0,0,0,0,1
2,4,2,22,5,2,2,2,3,37,1,2,1,1,1,0,0,1,0,0,1,0,0,1,0
2,4,4,26,1,1,3,3,1,46,3,3,1,1,1,1,0,1,0,1,1,0,0,1,0
1,4,1,11,5,3,3,3,1,45,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0
4,4,2,20,1,3,3,2,3,30,3,1,2,1,2,0,0,1,0,1,0,0,1,1,0
1,4,2,22,1,3,4,1,3,26,3,1,1,1,1,0,1,1,0,0,1,0,0,1,0
2,20,2,24,3,3,4,3,1,75,3,2,1,1,1,0,0,1,0,0,1,0,0,1,1
1,24,4,28,1,3,3,2,3,35,1,1,2,1,1,0,0,1,0,1,1,0,0,0,1
2,13,4,117,1,2,3,1,1,37,3,1,1,1,1,0,0,1,0,0,0,0,1,0,1
1,12,4,50,1,1,4,4,1,61,3,2,1,1,1,0,0,1,1,0,1,0,0,1,1
