f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,label
4,23,4,36,1,5,3,4,3,42,3,2,1,2,1,0,0,1,0,0,1,0,0,1,0
1,14,2,14,1,3,2,4,1,22,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0
2,8,2,16,1,3,3,2,3,34,3,1,1,1,1,0,0,1,0,0,1,0,0,0,0
4,12,2,17,1,3,3,2,1,32,3,1,1,1,1,0,0,1,0,0,1,0,0,0,0
4,11,2,42,1,3,3,4,3,21,3,1,1,2,1,0,0,1,0,0,1,0,0,1,0
4,15,2,13,1,5,3,4,4,32,3,1,1,2,1,0,0,1,0,0,1,0,0,0,0
4,25,2,46,1,3,2,2,3,26,3,1,1,1,1,0,0,1,0,0,1,0,0,1,0
4,13,4,40,1,3,3,2,3,43,3,2,1,1,1,0,0,1,0,0,1,0,0,1,0
4,51,2,45,1,3,3,4,3,28,3,1,1,2,1,0,0,1,0,0,1,0,0,1,0
2,52,2,31,1,3,3,2,3,36,3,1,1,2,1,0,0,1,0,0,1,0,0,1,1
4,15,4,18,1,3,3,4,3,33,3,1,1,2,1,0,0,1,0,0,1,0,0,1,0
4,22,4,25,1,5,3,4,4,61,3,1,1,2,1,0,0,1,0,0,1,0,0,0,0
4,23,4,28,1,5,3,4,4,32,3,2,1,2,1,0,0,1,0,0,1,0,0,0,0
4,24,2,23,1,5,3,4,3,31,3,1,1,2,1,0,0,1,0,0,0,0,0,1,0
4,14,4,12,1,5,3,4,1,35,3,2,1,2,1,0,0,1,0,0,1,0,0,0,0
1,24,2,24,1,5,3,4,4,23,3,1,1,2,1,0,0,1,0,1,0,0,0,0,1
1,23,2,20,1,5,3,4,4,29,3,1,1,2,1,0,0,1,0,1,0,0,0,1,1
1,8,2,21,1,3,2,4,3,26,3,1,1,1,1,0,0,1,0,1,0,0,0,1,0
1,14,2,17,1,2,2,4,3,25,3,1,1,1,1,0,0,1,0,1,0,0,0,1,1
4,10,2,8,1,3,3,2,1,24,3,1,1,1,1,0,0,1,0,0,1,0,0,1,0
4,15,2,30,1,5,3,4,3,25,3,1,1,2,1,0,0,1,0,0,0,0,0,1,0
1,38,2,43,1,3,3,4,3,27,3,1,1,1,1,0,0,1,0,0,1,0,0,1,1
4,15,4,10,1,5,3,4,1,67,3,2,1,1,1,0,0,1,0,0,1,0,0,1,0
