f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,label
4,60,2,159,1,3,2,4,3,19,3,1,1,2,1,0,0,1,0,0,0,0,0,1,0
4,4,2,3,1,5,3,4,1,75,3,2,1,1,1,0,0,1,0,0,1,0,0,1,0
4,60,4,159,1,5,3,4,2,75,3,1,1,2,1,0,0,1,0,0,1,0,0,0,0
4,4,4,159,1,5,3,4,3,75,3,1,1,2,1,0,0,1,0,0,0,0,0,1,0
4,4,2,159,1,5,3,4,1,75,3,2,1,1,1,0,0,1,0,0,1,0,0,1,0
4,4,2,3,1,3,3,4,1,75,3,2,1,1,1,0,0,1,0,0,1,0,0,1,0
4,60,2,3,1,3,3,4,1,75,3,2,1,1,1,0,0,1,0,0,1,0,0,1,0
4,60,2,159,1,3,2,4,3,19,3,1,1,1,1,0,0,1,0,0,0,0,0,1,0
4,60,4,3,1,5,3,4,1,75,3,1,1,2,1,0,0,1,0,0,1,0,0,0,0
4,60,2,3,1,3,3,4,3,19,3,1,1,1,1,0,0,1,0,0,1,0,0,1,0
4,60,2,3,1,3,2,4,3,19,3,1,1,1,1,0,0,1,0,0,0,0,0,1,1
4,60,2,3,1,3,2,4,3,19,3,1,1,1,1,0,0,1,0,1,0,0,0,1,0
4,4,4,159,1,5,3,4,4,75,3,2,1,2,1,0,0,1,0,0,1,0,0,1,0
4,60,2,3,1,3,3,2,3,75,3,2,1,1,1,0,0,1,0,0,1,0,0,1,0
4,4,2,159,1,3,3,4,2,75,3,2,1,1,1,0,0,1,0,0,1,0,0,1,0
4,4,2,3,1,3,3,4,3,19,3,2,1,1,1,0,0,1,0,0,1,0,0,1,0
4,60,4,159,1,5,3,4,4,75,3,1,1,2,1,0,0,1,0,0,1,0,0,0,0
4,4,2,3,1,3,2,4,3,19,3,1,1,1,1,0,0,1,0,0,1,0,0,1,0
4,4,2,159,1,3,2,4,3,19,3,1,1,1,1,0,0,1,0,0,0,0,0,1,0
4,4,2,159,1,3,3,4,1,75,3,2,1,1,1,0,0,1,0,0,1,0,0,1,0
4,60,2,3,1,3,3,4,3,19,3,1,1,1,1,0,0,1,0,0,0,0,0,1,0
4,4,2,159,1,3,3,4,2,19,3,2,1,1,1,0,0,1,0,0,1,0,0,1,0
4,4,2,159,1,5,3,4,2,75,3,2,1,2,1,0,0,1,0,0,1,0,0,1,0
4,60,4,159,1,5,3,4,3,75,3,1,1,2,1,0,0,1,0,0,0,0,0,1,0
4,4,2,3,1,3,3,1,2,19,3,2,1,1,1,0,0,1,0,0,1,0,0,1,0
4,60,2,159,1,3,3,4,3,19,3,1,1,2,1,0,0,1,0,0,0,0,0,1,0
4,4,2,3,1,3,3,3,2,19,3,2,1,1,1,0,0,1,0,0,1,0,0,1,0
4,4,4,159,1,5,3,4,4,75,3,1,1,2,1,0,0,1,0,0,0,0,0,1,0
4,60,2,3,1,3,3,1,3,75,3,2,1,1,1,0,0,1,0,0,1,0,0,1,0
4,60,4,159,1,5,3,4,3,19,3,1,1,2,1,0,0,1,0,0,0,0,0,1,0
4,4,2,159,1,3,3,4,3,19,3,1,1,1,1,0,0,1,0,0,1,0,0,1,0
1,4,2,159,1,3,2,4,3,19,3,1,1,1,1,0,0,1,0,0,0,0,0,1,1
2,60,2,159,1,5,3,4,3,19,3,1,1,2,1,0,0,1,0,0,0,0,0,1,0
4,4,4,159,1,5,3,4,4,75,3,1,1,2,1,0,0,1,0,0,1,0,0,1,0
4,60,2,3,1,3,2,4,3,19,3,1,1,1,1,0,0,1,0,0,1,0,0,1,0
4,60,2,3,1,3,2,4,3,19,3,1,1,1,1,0,0,1,0,1,1,0,0,1,0
4,4,2,3,1,3,2,4,3,19,3,1,1,1,1,0,0,1,0,0,0,0,0,1,1
4,4,2,3,1,5,3,4,1,75,3,2,1,1,1,0,0,1,0,0,1,0,0,0,0
4,4,2,3,1,3,3,1,3,19,3,2,1,1,1,0,0,1,0,0,1,0,0,1,0
4,60,4,3,1,5,3,4,3,75,3,1,1,2,1,0,0,1,0,0,1,0,0,1,0
4,4,2,3,1,3,2,4,3,19,3,1,1,1,1,0,0,1,0,0,0,0,0,1,0
4,60,2,3,1,3,3,1,3,19,3,2,1,1,1,0,0,1,0,0,1,0,0,1,0
4,4,2,3,1,3,3,4,3,75,3,2,1,1,1,0,0,1,0,0,1,0,0,1,0
1,4,2,3,1,3,2,4,3,19,3,1,1,1,1,0,0,1,0,0,0,0,0,1,1
2,60,4,159,1,5,3,4,4,75,3,1,1,2,1,0,0,1,0,0,0,0,0,1,0
4,4,4,159,1,5,3,4,2,75,3,1,1,2,1,0,0,1,0,0,0,0,0,1,0
4,4,2,159,1,5,3,4,2,75,3,2,1,1,1,0,0,1,0,0,1,0,0,1,0
4,60,2,3,1,3,3,1,3,19,3,1,1,1,1,0,0,1,0,0,1,0,0,1,0
4,60,2,3,1,3,3,2,3,75,3,1,1,1,1,0,0,1,0,0,1,0,0,1,0
4,60,2,3,1,3,3,4,1,75,3,2,1,1,1,0,0,1,0,0,1,0,0,0,0
2,60,2,159,1,3,2,4,3,19,3,1,1,1,1,0,0,1,0,0,0,0,0,1,0
2,4,2,159,1,3,2,4,3,19,3,1,1,1,1,0,0,1,0,0,0,0,0,1,1
4,60,4,3,1,3,3,4,1,75,3,1,1,1,1,0,0,1,0,0,1,0,0,0,0
4,60,4,159,1,5,3,4,3,75,3,1,1,2,1,0,0,1,0,0,1,0,0,1,0
