f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,label
3,40,4,4,1,4,3,3,2,34,3,2,1,1,1,0,0,1,0,0,1,0,1,0,0
4,17,4,28,1,4,3,4,3,36,3,2,1,1,1,1,0,1,0,0,1,0,0,1,1
1,34,4,26,5,4,3,2,2,29,3,2,2,1,2,0,0,1,0,0,1,0,0,1,0
2,45,3,66,1,2,2,1,3,25,3,2,1,1,1,0,0,1,0,0,1,0,0,1,0
2,18,3,18,1,4,3,4,2,31,3,2,1,1,1,0,0,0,0,0,1,0,0,1,0
1,32,1,69,1,3,3,2,3,32,3,1,1,2,1,0,0,1,0,0,1,0,0,0,1
1,19,2,34,1,1,2,4,2,22,3,1,1,2,1,0,1,1,0,1,0,0,0,1,0
4,27,4,59,5,3,1,3,2,38,3,2,1,2,1,0,0,1,0,0,1,0,0,0,0
2,40,2,118,1,1,1,2,4,29,3,1,1,2,1,0,1,1,0,0,1,0,0,0,1
2,29,2,69,1,3,2,4,3,27,1,1,1,2,1,1,0,0,0,0,1,0,0,0,0
1,23,4,46,1,5,3,3,2,42,3,2,1,2,1,1,0,1,0,1,0,0,0,1,1
4,41,2,50,2,5,3,3,3,45,3,1,1,2,1,0,1,1,0,1,0,0,0,0,0
3,34,2,44,4,2,3,3,1,31,3,1,1,1,1,0,0,1,0,0,1,0,1,0,1
1,24,2,53,1,5,2,4,1,40,3,2,1,2,1,0,1,1,0,0,1,0,0,0,0
3,12,2,35,1,4,3,1,2,28,3,1,1,1,1,0,0,1,0,0,1,0,0,1,0
4,9,3,6,1,3,2,3,1,27,3,2,1,1,1,0,0,1,0,1,0,0,0,1,0
3,11,2,24,2,2,2,2,1,33,3,1,1,1,1,0,0,0,1,0,1,0,0,1,0
4,21,3,24,1,3,2,2,2,24,2,2,1,1,1,0,0,1,0,0,1,0,0,1,0
4,29,3,60,1,4,3,4,3,44,3,2,1,2,1,0,0,1,0,1,0,0,0,1,0
4,26,2,17,2,5,3,2,2,44,3,1,2,1,1,0,0,1,0,0,1,0,0,1,0
3,37,3,48,1,2,4,2,1,41,3,2,1,1,1,0,0,1,0,0,1,0,1,0,0
4,33,4,25,3,4,3,3,3,34,3,2,1,2,1,1,0,1,0,0,1,0,0,1,1
1,10,2,58,1,2,3,3,4,20,3,1,1,1,1,0,0,1,0,0,0,0,0,1,0
1,14,4,13,3,2,4,3,2,50,1,2,1,2,1,0,0,1,0,0,1,1,0,0,0
4,13,4,17,5,3,2,3,3,25,3,3,1,1,1,1,0,1,0,1,0,0,1,0,1
4,32,3,55,1,3,2,3,2,47,3,2,1,2,1,0,0,1,0,0,1,0,0,1,0
1,26,0,62,1,5,4,4,3,56,3,2,1,2,1,0,0,1,0,0,1,0,0,0,1
4,33,4,44,5,2,2,1,2,20,3,1,1,2,1,1,0,1,0,0,1,0,0,1,0
3,33,2,104,5,4,3,3,4,35,3,1,1,2,1,1,0,1,0,0,1,0,0,0,0
3,37,2,27,2,3,2,4,3,48,3,1,1,2,1,0,0,0,0,1,0,0,0,1,0
3,24,3,11,2,4,3,2,1,33,3,2,2,2,1,1,0,1,0,0,1,0,0,1,0
1,31,4,21,3,4,3,4,2,30,3,2,1,2,1,0,0,0,1,1,0,0,0,0,1
3,29,3,60,3,3,2,4,2,35,3,2,1,1,1,0,0,1,0,1,0,0,1,0,1
1,12,3,11,1,5,2,4,3,37,3,2,1,2,1,1,0,1,0,0,0,0,0,1,0
2,8,0,48,1,1,3,3,1,43,3,2,1,1,1,0,1,0,1,0,1,0,1,0,0
4,6,1,10,2,4,2,3,1,25,3,1,1,1,1,1,0,1,0,1,0,0,0,1,0
2,10,2,4,1,4,2,2,1,37,3,1,1,2,1,0,0,1,0,0,1,0,1,0,0
3,27,4,72,1,4,1,3,2,34,3,2,1,1,1,0,0,1,0,0,1,0,1,0,1
3,30,3,77,2,4,1,4,3,29,3,2,1,1,1,0,0,1,0,1,0,0,0,1,0
1,24,2,68,2,2,3,3,2,20,3,1,1,1,1,0,0,1,0,0,1,0,1,0,1
1,13,4,27,1,4,3,2,3,28,3,2,1,1,1,1,0,1,0,0,1,0,0,1,1
3,18,3,30,1,2,1,3,1,29,3,1,1,2,1,0,0,1,0,0,1,0,0,0,0
3,10,1,9,1,1,2,1,1,30,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0
4,24,1,39,1,3,3,1,2,23,3,1,1,2,1,0,0,1,0,0,1,0,0,1,1
3,24,1,26,1,5,3,2,3,30,3,1,1,1,1,0,0,1,0,0,1,0,0,1,0
2,21,2,41,2,4,3,3,4,36,1,1,2,1,1,0,1,1,0,0,0,0,1,0,0
2,16,2,26,1,5,2,4,3,31,3,1,1,2,1,0,0,1,0,0,1,0,0,1,0
