iter	Passed	Remaining
0	6	2775
1	11	2366
2	16	2126
3	20	1988
4	25	2048
5	29	1950
6	33	1867
7	37	1817
8	40	1763
9	45	1761
10	48	1726
11	52	1710
12	56	1679
13	60	1655
14	63	1640
15	67	1619
16	70	1595
17	74	1572
18	77	1557
19	80	1529
20	83	1503
21	86	1482
22	89	1467
23	92	1442
24	94	1422
25	97	1403
26	101	1396
27	103	1380
28	106	1361
29	109	1348
30	112	1336
31	115	1331
32	118	1317
33	121	1302
34	123	1290
35	126	1283
36	129	1270
37	132	1261
38	134	1246
39	137	1241
40	140	1230
41	143	1222
42	146	1213
43	149	1207
44	151	1197
45	154	1187
46	157	1181
47	159	1172
48	163	1168
49	166	1162
50	168	1154
51	171	1146
52	174	1139
53	176	1131
54	178	1122
55	181	1113
56	183	1105
57	186	1099
58	188	1092
59	191	1085
60	194	1080
61	196	1072
62	199	1067
63	202	1062
64	205	1060
65	208	1054
66	211	1049
67	213	1042
68	216	1037
69	219	1032
70	221	1028
71	224	1023
72	227	1019
73	229	1012
74	232	1008
75	235	1004
76	238	998
77	240	993
78	243	989
79	245	983
80	249	980
81	251	976
82	254	971
83	256	966
84	259	961
85	261	956
86	264	951
87	266	946
88	269	940
89	272	937
90	274	933
91	277	929
92	280	925
93	283	921
94	285	916
95	287	911
96	290	907
97	292	902
98	295	899
99	298	895
100	301	891
101	304	889
102	306	885
103	309	881
104	312	877
105	314	873
106	317	869
107	320	865
108	322	861
109	324	856
110	327	852
111	330	848
112	332	845
113	335	842
114	338	838
115	341	835
116	344	832
117	346	828
118	349	824
119	351	820
120	354	817
121	357	814
122	360	810
123	362	807
124	365	803
125	368	800
126	370	796
127	372	792
128	375	788
129	377	784
130	380	780
131	382	776
132	384	772
133	387	769
134	390	766
135	392	762
136	395	759
137	398	757
138	401	754
139	404	751
140	407	748
141	410	746
142	413	743
143	416	739
144	418	736
145	421	732
146	423	728
147	425	725
148	428	722
149	431	719
150	434	716
151	436	712
152	439	709
153	442	706
154	444	703
155	447	699
156	450	696
157	456	698
158	461	698
159	464	696
160	467	693
161	470	690
162	473	688
163	476	685
164	478	682
165	481	678
166	484	676
167	487	673
168	490	670
169	493	667
170	496	664
171	498	661
172	501	657
173	504	654
174	507	652
175	509	649
176	512	645
177	515	643
178	517	639
179	520	635
180	522	632
181	525	629
182	527	626
183	530	622
184	533	619
185	536	617
186	538	613
187	541	610
188	544	608
189	547	604
190	549	601
191	552	598
192	555	595
193	558	592
194	561	590
195	564	587
196	567	584
197	569	581
198	572	578
199	575	575
200	578	572
201	580	569
202	583	566
203	586	563
204	588	559
205	591	556
206	593	553
207	596	550
208	598	547
209	601	543
210	603	540
211	606	537
212	609	534
213	612	532
214	614	528
215	617	525
216	620	523
217	623	520
218	625	517
219	628	514
220	630	510
221	633	507
222	636	504
223	639	502
224	642	499
225	644	496
226	647	493
227	650	490
228	653	487
229	656	484
230	658	481
231	661	479
232	664	476
233	667	473
234	669	470
235	672	467
236	674	463
237	677	461
238	680	458
239	683	455
240	686	452
241	689	449
242	691	446
243	694	443
244	697	441
245	700	438
246	702	435
247	705	432
248	708	429
249	710	426
250	713	423
251	716	420
252	718	417
253	721	414
254	724	411
255	726	408
256	731	406
257	735	404
258	740	403
259	745	401
260	749	398
261	752	396
262	754	393
263	758	390
264	761	387
265	764	384
266	767	382
267	769	379
268	772	376
269	774	373
270	777	370
271	780	367
272	783	364
273	787	361
274	789	358
275	792	355
276	794	352
277	797	349
278	800	347
279	803	344
280	805	341
281	808	338
282	811	335
283	813	332
284	816	329
285	818	326
286	821	323
287	823	320
288	826	317
289	829	314
290	832	311
291	835	308
292	837	305
293	840	302
294	842	299
295	845	296
296	848	294
297	850	291
298	853	288
299	855	285
300	858	282
301	861	279
302	863	276
303	866	273
304	869	270
305	871	267
306	874	264
307	876	261
308	879	259
309	882	256
310	885	253
311	888	250
312	891	247
313	894	244
314	896	242
315	899	239
316	902	236
317	905	233
318	907	230
319	910	227
320	913	224
321	916	221
322	918	219
323	921	216
324	923	213
325	927	210
326	929	207
327	932	204
328	935	201
329	937	198
330	940	196
331	942	193
332	945	190
333	948	187
334	951	184
335	953	181
336	956	178
337	959	175
338	962	173
339	965	170
340	967	167
341	970	164
342	972	161
343	975	158
344	977	155
345	980	152
346	983	150
347	986	147
348	989	144
349	992	141
350	994	138
351	996	135
352	999	133
353	1001	130
354	1004	127
355	1006	124
356	1009	121
357	1011	118
358	1015	115
359	1017	113
360	1020	110
361	1023	107
362	1026	104
363	1029	101
364	1032	98
365	1035	96
366	1037	93
367	1040	90
368	1043	87
369	1046	84
370	1049	82
371	1052	79
372	1055	76
373	1057	73
374	1060	70
375	1062	67
376	1065	64
377	1067	62
378	1070	59
379	1072	56
380	1075	53
381	1078	50
382	1081	47
383	1083	45
384	1086	42
385	1089	39
386	1092	36
387	1095	33
388	1097	31
389	1100	28
390	1103	25
391	1106	22
392	1109	19
393	1111	16
394	1114	14
395	1117	11
396	1119	8
397	1122	5
398	1125	2
399	1127	0
